order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit,order_month,shipping_days,profit_margin_pct,customer_name,segment,city
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,central,office supplies,Storage,1,41.69,0.0,19.67,January,5,47.18157831614297,Sam Bell,Corporate,Dallas
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,CENTRAL,Technology,Machines,4,170.76,0.0,91.36,January,2,53.50199109861794,Drew Bell,Corporate,Chicago
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,east,technology,Phones,1,728.04,0.3,14.63,January,5,2.009504972254272,Sam Dean,Consumer,New York
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,CENTRAL,Technology,Phones,7,921.6,0.15,184.32000000000002,January,5,20.0,Drew Dean,Consumer,Dallas
NM202401487969,2024-01-04,2024-01-07,CU0213,PR501,SOUTH,technology,Phones,2,2080.12,0.0,653.3,January,3,31.40684191296656,Drew Wood,Consumer,Atlanta
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,East,TECHNOLOGY,Machines,1,195.03,0.15,76.79,January,4,39.37342972875968,Jamie Fox,Home Office,New York
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,east,TECHNOLOGY,Accessories,2,1046.08,0.2,389.52,January,5,37.23615784643622,Sam Fox,Corporate,New York
NM202401543265,2024-01-30,2024-01-31,CU0124,PR505,EAST,Technology,Accessories,3,495.31,0.15,157.75,January,1,31.848741192384566,Alex Bell,Consumer,New York
NM202401161347,2024-01-09,2024-01-13,CU0011,PR523,West ,OFFICE SUPPLIES,Art,7,303.63,0.15,33.08,January,4,10.89483911339459,Quinn Hunt,Consumer,Seattle
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,east,Office Supplies,Paper,4,45.04,0.0,16.28,January,2,36.145648312611016,Jamie Lee,Consumer,New York
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506, East,Technology,Accessories,2,1307.6,0.0,651.04,January,3,49.788926277148974,Quinn Bell,Corporate,New York
NM202401927887,2024-01-18,2024-01-20,CU0160,PR502, South,technology,Phones,8,2537.6,0.0,1238.08,January,2,48.78940731399748,Quinn Fox,Home Office,Atlanta
NM202401361834,2024-01-27,2024-02-03,CU0023,PR509,Central,TECHNOLOGY,Machines,1,529.98,0.2,193.77,January,7,36.561757047435755,Taylor Hunt,Corporate,Chicago
NM202401529014,2024-01-12,2024-01-19,CU0051,PR524,SOUTH,OFFICE SUPPLIES,Art,4,338.04,0.0,74.28,January,7,21.973730919417818,Drew Ray,Consumer,Atlanta
NM202401299657,2024-01-17,2024-01-23,CU0095,PR524,SOUTH,OFFICE SUPPLIES,Art,4,338.04,0.0,74.28,January,6,21.973730919417818,Riley Fox,Consumer,Atlanta
NM202401259082,2024-01-25,2024-01-29,CU0129,PR514, South,furniture,Bookcases,8,1907.78,0.1,627.54,January,4,32.89372988499722,Quinn Roy,Home Office,Atlanta
NM202401117079,2024-01-09,2024-01-14,CU0074,PR506, Central,Technology,Accessories,8,4184.32,0.2,1558.08,January,5,37.23615784643622,Morgan Wood,Consumer,Chicago
NM202401303427,2024-01-04,2024-01-10,CU0087,PR501,SOUTH,Technology,Phones,5,4160.24,0.2,593.19,January,6,14.258552391208202,Sam Roy,Corporate,Miami
NM202401103230,2024-01-18,2024-01-20,CU0117,PR524, South,Office Supplies,Art,7,532.41,0.1,70.83,January,2,13.30365695610526,Alex Hunt,Consumer,Atlanta
NM202401933514,2024-01-20,2024-01-24,CU0098,PR518,central,office supplies,Paper,3,142.06,0.3,40.06,January,4,28.199352386315642,Sam Cruz,Home Office,Dallas
NM202401616868,2024-01-14,2024-01-16,CU0080,PR524,south,office supplies,Art,4,338.04,0.0,74.28,January,2,21.973730919417818,Drew Bell,Corporate,Atlanta
NM202401695119,2024-01-24,2024-01-27,CU0098,PR514,Central ,furniture,Bookcases,8,1907.78,0.1,627.54,January,3,32.89372988499722,Sam Cruz,Home Office,Dallas
NM202401955284,2024-01-10,2024-01-11,CU0220,PR513,central,Furniture,Tables,6,1371.82,0.1,195.64,January,1,14.26134624076045,Drew Dean,Consumer,Dallas
NM202401870835,2024-01-11,2024-01-18,CU0226,PR516,east,OFFICE SUPPLIES,Binders,1,8.19,0.15,3.31,January,7,40.415140415140414,Quinn Ray,Consumer,Boston
NM202401651775,2024-01-29,2024-01-31,CU0048,PR506,west,Technology,Accessories,2,915.32,0.3,258.76,January,2,28.26989468164139,Alex Dean,Corporate,Los Angeles
NM202401823645,2024-01-03,2024-01-09,CU0197,PR501,West ,Technology,Phones,2,2080.12,0.0,653.3,January,6,31.40684191296656,Casey Fox,Corporate,Seattle
NM202401739206,2024-01-21,2024-01-23,CU0236,PR503,South ,technology,Phones,6,836.41,0.1,247.87,January,2,29.634987625685973,Jamie Lee,Home Office,Miami
NM202401643445,2024-01-31,2024-02-01,CU0178,PR502,West,TECHNOLOGY,Phones,1,317.2,0.0,154.76,January,1,48.78940731399748,Drew Lee,Consumer,Los Angeles
NM202401935076,2024-01-13,2024-01-14,CU0195,PR524,SOUTH,Office Supplies,Art,1,67.61,0.2,1.67,January,1,2.4700488093477295,Riley Bell,Corporate,Miami
NM202401721757,2024-01-25,2024-02-01,CU0011,PR514,West,Furniture,Bookcases,2,423.95,0.2,103.89,January,7,24.50524826040807,Quinn Hunt,Consumer,Seattle
NM202401888649,2024-01-02,2024-01-08,CU0091,PR505,West ,Technology,Accessories,1,155.39,0.2,42.87,January,6,27.58864791814145,Alex Ray,Home Office,Seattle
NM202401201068,2024-01-21,2024-01-21,CU0239,PR511,south,FURNITURE,Chairs,7,748.5,0.1,309.81,January,0,41.390781563126254,Morgan Roy,Corporate,Atlanta
NM202401208766,2024-01-16,2024-01-19,CU0159,PR507,Central,Technology,Machines,6,217.72,0.15,98.62,January,3,45.29671137240492,Morgan Fox,Home Office,Chicago
NM202401419075,2024-01-25,2024-01-28,CU0204,PR507,Central ,technology,Machines,3,89.65,0.3,30.1,January,3,33.575013943112104,Morgan Bell,Home Office,Dallas
NM202401833775,2024-01-22,2024-01-22,CU0187,PR519,East ,Office Supplies,Paper,2,20.27,0.1,5.89,January,0,29.057720769610263,Taylor Bell,Home Office,Boston
NM202401829121,2024-01-29,2024-01-29,CU0090,PR521,South ,OFFICE SUPPLIES,Storage,2,99.6,0.0,23.64,January,0,23.73493975903615,Riley Bell,Consumer,Miami
NM202401785398,2024-01-08,2024-01-10,CU0045,PR502,south,Technology,Phones,8,2283.84,0.1,984.32,January,2,43.0993414599972,Quinn Lee,Corporate,Miami
NM202401692340,2024-01-04,2024-01-11,CU0123,PR515, Central,Furniture,Bookcases,8,4578.48,0.0,915.6959999999999,January,7,20.0,Sam Dean,Home Office,Dallas
NM202401786822,2024-01-17,2024-01-21,CU0190,PR518,East,Office Supplies,Paper,1,47.36,0.3,13.36,January,4,28.209459459459456,Quinn Lee,Consumer,New York
NM202401914034,2024-01-23,2024-01-26,CU0057,PR511,central,FURNITURE,Chairs,4,475.24,0.0,224.56,January,3,47.251914821984684,Casey Lee,Corporate,Dallas
NM202401582940,2024-01-19,2024-01-24,CU0217,PR523, Central,OFFICE SUPPLIES,Art,7,357.21,0.0,86.66,January,5,24.260239075053892,Jordan Cruz,Consumer,Dallas
NM202401296220,2024-01-30,2024-02-06,CU0103,PR506,south,Technology,Accessories,2,1111.46,0.15,454.9,January,7,40.92814856135173,Quinn Bell,Consumer,Miami
NM202401943709,2024-01-25,2024-01-30,CU0169,PR513,South,Furniture,Tables,7,1244.8,0.3,-127.41,January,5,-10.235379177377892,Morgan Ray,Home Office,Atlanta
NM202401605050,2024-01-11,2024-01-12,CU0170,PR515, South,Furniture,Bookcases,3,1545.24,0.1,309.048,January,1,20.0,Drew Ray,Home Office,Atlanta
NM202401238986,2024-01-26,2024-01-27,CU0127,PR506,SOUTH,Technology,Accessories,4,1046.08,0.6,-267.04,January,1,-25.52768430712757,Morgan Roy,Corporate,Miami
NM202401703433,2024-01-06,2024-01-08,CU0046,PR520,South ,Office Supplies,Paper,5,44.55,0.1,18.5,January,2,41.5263748597082,Morgan Bell,Corporate,Miami
NM202401946659,2024-01-27,2024-01-29,CU0178,PR518, West,office supplies,Paper,1,47.36,0.3,13.36,January,2,28.209459459459456,Drew Lee,Consumer,Los Angeles
NM202401912628,2024-01-06,2024-01-06,CU0179,PR506,South ,Technology,Accessories,2,523.04,0.6,-133.52,January,0,-25.52768430712757,Drew Bell,Home Office,Atlanta
NM202401550231,2024-01-14,2024-01-19,CU0054,PR512, South,Furniture,Tables,1,696.95,0.0,189.39,January,5,27.174115790228853,Casey Ray,Corporate,Miami
NM202401744331,2024-01-02,2024-01-09,CU0028,PR508, East,Technology,Machines,3,585.1,0.15,230.38,January,7,39.3744659032644,Alex Roy,Consumer,Boston
